# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
-0.03000,-0.06000,-0.09000,-0.04885,-0.00173,0.00118
-0.04000,-0.06000,-0.09000,-0.04882,-0.00162,0.00121
-0.05000,-0.06000,-0.09000,-0.04877,-0.00150,0.00124
-0.03000,-0.07000,-0.09000,-0.04903,-0.00177,0.00118
-0.02000,-0.07000,-0.09000,-0.04902,-0.00185,0.00116
-0.01000,-0.07000,-0.09000,-0.04902,-0.00194,0.00117
-0.00000,-0.07000,-0.09000,-0.04900,-0.00204,0.00119
0.01000,-0.07000,-0.09000,-0.04898,-0.00211,0.00124
0.02000,-0.07000,-0.09000,-0.04895,-0.00219,0.00128
0.03000,-0.07000,-0.09000,-0.04892,-0.00228,0.00138
-0.03000,-0.08000,-0.08000,-0.04901,-0.00178,0.00093
-0.02000,-0.08000,-0.08000,-0.04901,-0.00185,0.00095
