# COSI2 B0 scan
# time 2024-08-12 14:51:30.992518
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_ALONG_field_12pts_R120_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-50.014,-90.001,-50.013,-47.5540,-0.9800,-0.4300,47.5660
-50.014,-90.001,-60.013,-47.5770,-0.9900,-0.4300,47.5890
-40.014,-90.001,-60.013,-47.5740,-0.9900,-0.4600,47.5870
-40.014,-90.001,-50.013,-47.5710,-0.9900,-0.4600,47.5840
-40.014,-90.001,-40.013,-47.5590,-0.9900,-0.4700,47.5710
-40.014,-90.001,-30.013,-47.5510,-0.9800,-0.4700,47.5640
-40.014,-90.001,-20.013,-47.5450,-0.9800,-0.4800,47.5570
-40.014,-90.001,-10.013,-47.5290,-0.9700,-0.4800,47.5420
-40.014,-90.001,-0.013,-47.5190,-0.9700,-0.5000,47.5310
-40.014,-90.001,9.987,-47.5160,-0.9700,-0.5100,47.5280
-40.014,-90.001,19.987,-47.5200,-0.9800,-0.5300,47.5330
-40.014,-90.001,29.987,-47.5210,-0.9800,-0.5500,47.5340
-40.014,-90.001,39.987,-47.5280,-0.9700,-0.5600,47.5430
-40.014,-90.001,49.987,-47.5380,-0.9800,-0.5500,47.5500
-40.014,-90.001,59.987,-47.5540,-0.9900,-0.5700,47.5610
-30.014,-90.001,69.987,-47.5650,-1.0000,-0.5600,47.5750
-30.014,-90.001,59.987,-47.5590,-1.0000,-0.5600,47.5700
-30.014,-90.001,49.987,-47.5520,-0.9900,-0.5600,47.5650
-30.014,-90.001,39.987,-47.5400,-0.9800,-0.5400,47.5530
-30.014,-90.001,29.987,-47.5380,-0.9800,-0.5400,47.5510
-30.014,-90.001,19.987,-47.5260,-0.9800,-0.5300,47.5390
-30.014,-90.001,9.987,-47.5310,-0.9800,-0.5100,47.5430
-30.014,-90.001,-0.013,-47.5300,-0.9800,-0.5100,47.5430
-30.014,-90.001,-10.013,-47.5350,-0.9800,-0.5000,47.5480
-30.014,-90.001,-20.013,-47.5370,-0.9800,-0.4900,47.5490
-30.014,-90.001,-30.013,-47.5560,-0.9700,-0.4900,47.5690
-30.014,-90.001,-40.013,-47.5580,-0.9900,-0.4800,47.5700
-30.014,-90.001,-50.013,-47.5660,-0.9900,-0.4800,47.5790
-30.014,-90.001,-60.013,-47.5750,-0.9900,-0.4700,47.5880
-30.014,-90.001,-70.013,-47.5910,-0.9900,-0.4800,47.6030
-20.014,-90.001,-70.013,-47.5850,-0.9900,-0.5000,47.6000
-20.014,-90.001,-60.013,-47.5800,-0.9900,-0.5000,47.5900
-20.014,-90.001,-50.013,-47.5710,-0.9900,-0.5000,47.5840
-20.014,-90.001,-40.013,-47.5730,-0.9800,-0.5000,47.5850
-20.014,-90.001,-30.013,-47.5500,-0.9800,-0.5100,47.5630
-20.014,-90.001,-20.013,-47.5520,-0.9700,-0.5000,47.5650
-20.014,-90.001,-10.013,-47.5480,-0.9700,-0.5000,47.5610
-20.014,-90.001,-0.013,-47.5410,-0.9700,-0.5000,47.5540
-20.014,-90.001,9.987,-47.5380,-0.9700,-0.5100,47.5510
-20.014,-90.001,19.987,-47.5380,-0.9700,-0.5100,47.5510
-20.014,-90.001,29.987,-47.5420,-0.9800,-0.5300,47.5610
-20.014,-90.001,39.987,-47.5450,-0.9800,-0.5200,47.5590
-20.014,-90.001,49.987,-47.5550,-0.9800,-0.5400,47.5690
-20.014,-90.001,59.987,-47.5630,-0.9800,-0.5500,47.5770
-20.014,-90.001,69.987,-47.5730,-0.9800,-0.5500,47.5840
-10.014,-90.001,69.987,-47.5690,-0.9800,-0.5400,47.5830
-10.014,-90.001,59.987,-47.5660,-0.9800,-0.5400,47.5790
-10.014,-90.001,49.987,-47.5610,-0.9700,-0.5300,47.5740
-10.014,-90.001,39.987,-47.5540,-0.9800,-0.5200,47.5670
-10.014,-90.001,29.987,-47.5430,-0.9800,-0.5100,47.5560
-10.014,-90.001,19.987,-47.5450,-0.9800,-0.5200,47.5570
-10.014,-90.001,9.987,-47.5440,-0.9800,-0.5100,47.5560
-10.014,-90.001,-0.013,-47.5310,-0.9800,-0.5100,47.5440
-10.014,-90.001,-10.013,-47.5440,-0.9700,-0.5100,47.5560
-10.014,-90.001,-20.013,-47.5380,-0.9800,-0.5100,47.5500
-10.014,-90.001,-30.013,-47.5500,-0.9800,-0.5100,47.5630
-10.014,-90.001,-40.013,-47.5600,-0.9800,-0.5100,47.5730
-10.014,-90.001,-50.013,-47.5630,-0.9900,-0.5200,47.5760
-10.014,-90.001,-60.013,-47.5710,-1.0000,-0.5300,47.5860
-10.014,-90.001,-70.013,-47.5880,-0.9900,-0.5200,47.6000
-0.014,-90.001,-70.013,-47.5810,-0.9900,-0.5400,47.5970
-0.014,-90.001,-60.013,-47.5670,-0.9800,-0.5300,47.5750
-0.014,-90.001,-50.013,-47.5630,-0.9800,-0.5300,47.5750
-0.014,-90.001,-40.013,-47.5620,-0.9800,-0.5200,47.5740
-0.014,-90.001,-30.013,-47.5500,-0.9800,-0.5000,47.5700
-0.014,-90.001,-20.013,-47.5440,-0.9800,-0.5100,47.5580
-0.014,-90.001,-10.013,-47.5470,-0.9800,-0.5200,47.5610
-0.014,-90.001,-0.013,-47.5410,-0.9700,-0.5100,47.5560
-0.014,-90.001,9.987,-47.5410,-0.9800,-0.5100,47.5570
-0.014,-90.001,19.987,-47.5440,-0.9800,-0.5100,47.5580
-0.014,-90.001,29.987,-47.5490,-0.9800,-0.5100,47.5620
-0.014,-90.001,39.987,-47.5550,-0.9800,-0.5000,47.5670
-0.014,-90.001,49.987,-47.5550,-0.9800,-0.5200,47.5680
-0.014,-90.001,59.987,-47.5730,-0.9800,-0.5200,47.5860
-0.014,-90.001,69.987,-47.5740,-0.9800,-0.5200,47.5870
9.986,-90.001,69.987,-47.5720,-0.9800,-0.5000,47.5850
9.986,-90.001,59.987,-47.5770,-0.9900,-0.5100,47.5900
9.986,-90.001,49.987,-47.5660,-0.9800,-0.5000,47.5790
9.986,-90.001,39.987,-47.5630,-0.9800,-0.5000,47.5760
9.986,-90.001,29.987,-47.5540,-0.9900,-0.5100,47.5670
9.986,-90.001,19.987,-47.5460,-0.9900,-0.5000,47.5570
9.986,-90.001,9.987,-47.5400,-0.9900,-0.5100,47.5530
9.986,-90.001,-0.013,-47.5370,-0.9800,-0.5200,47.5500
