# COSI2 B0 scan
# time 2024-09-10 10:16:08.266727
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-0.120,-90.091,-50.029,-47.2920,-2.0000,-0.8800,47.3420
-0.120,-90.091,-40.029,-47.2830,-2.0100,-0.8700,47.3330
-0.120,-90.091,-30.029,-47.2780,-2.0000,-0.8500,47.3290
-0.120,-90.091,-20.029,-47.2710,-2.0200,-0.8600,47.3240
-0.120,-90.091,-10.029,-47.2680,-2.0200,-0.8600,47.3180
-0.120,-90.091,-0.029,-47.2690,-2.0200,-0.8500,47.3180
-0.120,-90.091,9.971,-47.2690,-2.0200,-0.8600,47.3190
-0.120,-90.091,19.971,-47.2790,-2.0300,-0.8600,47.3280
-0.120,-90.091,29.971,-47.2870,-2.0400,-0.8700,47.3370
-0.120,-90.091,39.971,-47.3010,-2.0400,-0.8700,47.3530
-0.120,-90.091,49.971,-47.3140,-2.0400,-0.8600,47.3640
-0.120,-90.091,59.971,-47.3350,-2.0500,-0.8600,47.3820
-0.120,-90.091,69.971,-47.3470,-2.0500,-0.8600,47.3970
9.880,-90.091,69.971,-47.3490,-2.0600,-0.8500,47.4030
9.880,-90.091,59.971,-47.3400,-2.0500,-0.8500,47.3940
9.880,-90.091,49.971,-47.3230,-2.0500,-0.8600,47.3760
9.880,-90.091,39.971,-47.3070,-2.0400,-0.8500,47.3590
9.880,-90.091,29.971,-47.2940,-2.0400,-0.8600,47.3460
9.880,-90.091,19.971,-47.2830,-2.0300,-0.8500,47.3340
9.880,-90.091,9.971,-47.2770,-2.0400,-0.8600,47.3280
9.880,-90.091,-0.029,-47.2680,-2.0200,-0.8600,47.3190
9.880,-90.091,-10.029,-47.2620,-2.0100,-0.8600,47.3130
9.880,-90.091,-20.029,-47.2640,-2.0100,-0.8600,47.3140
9.880,-90.091,-30.029,-47.2690,-2.0100,-0.8700,47.3200
9.880,-90.091,-40.029,-47.2700,-1.9900,-0.8600,47.3200
9.880,-90.091,-50.029,-47.2770,-1.9900,-0.8900,47.3270
9.880,-90.091,-60.029,-47.2760,-1.9800,-0.9000,47.3260
9.880,-90.091,-70.029,-47.2870,-1.9800,-0.9000,47.3370
19.880,-90.091,-70.029,-47.2740,-1.9700,-0.9100,47.3240
19.880,-90.091,-60.029,-47.2690,-1.9800,-0.9000,47.3190
19.880,-90.091,-50.029,-47.2670,-1.9900,-0.8900,47.3170
19.880,-90.091,-40.029,-47.2660,-1.9900,-0.8800,47.3160
19.880,-90.091,-30.029,-47.2660,-2.0000,-0.8800,47.3160
19.880,-90.091,-20.029,-47.2590,-2.0100,-0.8600,47.3090
19.880,-90.091,-10.029,-47.2620,-2.0200,-0.8600,47.3120
19.880,-90.091,-0.029,-47.2610,-2.0200,-0.8500,47.3120
19.880,-90.091,9.971,-47.2700,-2.0200,-0.8500,47.3220
19.880,-90.091,19.971,-47.2750,-2.0300,-0.8500,47.3250
19.880,-90.091,29.971,-47.2820,-2.0500,-0.8500,47.3330
19.880,-90.091,39.971,-47.3020,-2.0400,-0.8500,47.3520
19.880,-90.091,49.971,-47.3120,-2.0600,-0.8500,47.3610
19.880,-90.091,59.971,-47.3260,-2.0600,-0.8400,47.3780
19.880,-90.091,69.971,-47.3390,-2.0600,-0.8300,47.3900
29.880,-90.091,69.971,-47.3360,-2.0700,-0.8300,47.3900
29.880,-90.091,59.971,-47.3310,-2.0700,-0.8400,47.3850
29.880,-90.091,49.971,-47.3180,-2.0600,-0.8500,47.3700
29.880,-90.091,39.971,-47.3030,-2.0500,-0.8400,47.3590
29.880,-90.091,29.971,-47.2920,-2.0500,-0.8400,47.3460
