X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
264.52, 292.28, 89.74, 4.244000, -48.501000, 1.106000
254.09, 292.28, 89.74, 4.162000, -48.568000, 1.119000
243.65, 292.28, 89.74, 4.060000, -48.620000, 1.129000
233.22, 292.28, 89.74, 3.952000, -48.659000, 1.134000
222.78, 292.28, 89.74, 3.837000, -48.686000, 1.125000
212.35, 292.28, 89.74, 3.744000, -48.682000, 1.101000
201.91, 292.28, 89.74, 3.627000, -48.678000, 1.081000
191.48, 292.28, 89.74, 3.519000, -48.651000, 1.053000
181.04, 292.28, 89.74, 3.404000, -48.613000, 1.011000
170.61, 292.28, 89.74, 3.322000, -48.559000, 0.933000
160.17, 281.85, 89.74, 3.128000, -48.384000, 0.936000
170.61, 281.85, 89.74, 3.113000, -48.464000, 0.986000
181.04, 281.85, 89.74, 3.254000, -48.546000, 1.047000
191.48, 281.85, 89.74, 3.391000, -48.599000, 1.082000
201.91, 281.85, 89.74, 3.516000, -48.634000, 1.105000
212.35, 281.85, 89.74, 3.620000, -48.662000, 1.132000
222.78, 281.85, 89.74, 3.740000, -48.646000, 1.161000
233.22, 281.85, 89.74, 3.859000, -48.621000, 1.155000
243.65, 281.85, 89.74, 3.980000, -48.587000, 1.173000
254.09, 281.85, 89.74, 4.069000, -48.519000, 1.150000
264.52, 281.85, 89.74, 4.185000, -48.452000, 1.152000
274.96, 281.85, 89.74, 4.288000, -48.352000, 1.132000
285.39, 281.85, 89.74, 4.388000, -48.243000, 1.112000
