# COSI2 B0 scan,,,,,,
# time 2024-05-22 18:55:30.362520,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
268.37,61.77,247.13,-47.497,-0.856,1.946,47.542
289.7,72.43,247.13,-47.523,-0.834,1.926,47.568
279.03,72.43,247.13,-47.515,-0.846,1.949,47.562
268.37,72.43,247.13,-47.513,-0.853,1.955,47.561
257.7,72.43,247.13,-47.503,-0.859,1.965,47.552
247.03,72.43,247.13,-47.506,-0.865,1.969,47.552
236.37,72.43,247.13,-47.506,-0.869,1.975,47.552
225.7,72.43,247.13,-47.511,-0.867,1.986,47.567
215.03,72.43,247.13,-47.509,-0.873,1.987,47.559
193.7,83.1,247.13,-47.534,-0.877,1.99,47.58
204.37,83.1,247.13,-47.52,-0.874,1.987,47.569
215.03,83.1,247.13,-47.517,-0.872,1.982,47.566
225.7,83.1,247.13,-47.517,-0.868,1.979,47.564
236.37,83.1,247.13,-47.506,-0.868,1.974,47.559
247.03,83.1,247.13,-47.51,-0.866,1.965,47.561
257.7,83.1,247.13,-47.517,-0.853,1.962,47.564
268.37,83.1,247.13,-47.52,-0.85,1.949,47.569
279.03,83.1,247.13,-47.521,-0.842,1.946,47.572
289.7,83.1,247.13,-47.537,-0.838,1.937,47.586
311.03,93.77,247.13,-47.563,-0.824,1.938,47.609
300.37,93.77,247.13,-47.554,-0.824,1.945,47.598
289.7,93.77,247.13,-47.544,-0.834,1.954,47.591
279.03,93.77,247.13,-47.531,-0.84,1.957,47.575
268.37,93.77,247.13,-47.523,-0.846,1.963,47.569
257.7,93.77,247.13,-47.518,-0.853,1.975,47.571
247.03,93.77,247.13,-47.516,-0.857,1.974,47.563
236.37,93.77,247.13,-47.52,-0.863,1.981,47.571
225.7,93.77,247.13,-47.52,-0.865,1.987,47.569
215.03,93.77,247.13,-47.525,-0.869,1.985,47.576
204.37,93.77,247.13,-47.532,-0.876,1.994,47.581
193.7,93.77,247.13,-47.534,-0.873,1.995,47.584
172.37,104.43,247.13,-47.567,-0.874,1.996,47.611
183.03,104.43,247.13,-47.547,-0.876,1.993,47.596
193.7,104.43,247.13,-47.543,-0.867,1.992,47.587
204.37,104.43,247.13,-47.533,-0.871,1.991,47.581
215.03,104.43,247.13,-47.519,-0.866,1.984,47.568
225.7,104.43,247.13,-47.522,-0.865,1.981,47.571
236.37,104.43,247.13,-47.52,-0.861,1.982,47.568
247.03,104.43,247.13,-47.519,-0.853,1.976,47.567
257.7,104.43,247.13,-47.522,-0.849,1.974,47.569
268.37,104.43,247.13,-47.531,-0.848,1.969,47.581
279.03,104.43,247.13,-47.536,-0.842,1.961,47.586
289.7,104.43,247.13,-47.55,-0.829,1.955,47.6
300.37,104.43,247.13,-47.565,-0.82,1.953,47.608
311.03,104.43,247.13,-47.567,-0.814,1.942,47.613
321.7,115.1,247.13,-47.583,-0.811,1.945,47.63
