# COSI2 B0 scan
# time 2024-08-22 11:33:15.437139
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
36.014,-83.962,47.977,-47.3030,-0.7900,0.4100,47.3130
36.014,-83.962,35.977,-47.2960,-0.8000,0.4100,47.3080
36.014,-83.962,23.977,-47.2890,-0.8000,0.4200,47.3010
36.014,-83.962,11.977,-47.2790,-0.8100,0.4100,47.2880
36.014,-83.962,-0.023,-47.2770,-0.8000,0.4000,47.2850
36.014,-83.962,-12.023,-47.2720,-0.8000,0.4000,47.2800
36.014,-83.962,-24.023,-47.2720,-0.8000,0.4000,47.2800
36.014,-83.962,-36.023,-47.2680,-0.8000,0.3900,47.2760
36.014,-83.962,-48.023,-47.2680,-0.8000,0.3900,47.2770
36.014,-83.962,-60.023,-47.2660,-0.7900,0.3900,47.2740
36.014,-83.962,-72.023,-47.2700,-0.7900,0.3900,47.2780
48.014,-83.962,-60.023,-47.2670,-0.7900,0.3900,47.2770
48.014,-83.962,-48.023,-47.2640,-0.8000,0.3900,47.2740
48.014,-83.962,-36.023,-47.2630,-0.7800,0.3800,47.2700
48.014,-83.962,-24.023,-47.2620,-0.8000,0.3900,47.2700
48.014,-83.962,-12.023,-47.2670,-0.8100,0.4000,47.2760
48.014,-83.962,-0.023,-47.2620,-0.8100,0.4100,47.2710
48.014,-83.962,11.977,-47.2730,-0.8000,0.4100,47.2820
48.014,-83.962,23.977,-47.2810,-0.8100,0.4100,47.2900
48.014,-83.962,35.977,-47.2930,-0.8000,0.4100,47.3010
48.014,-83.962,47.977,-47.3040,-0.8100,0.4200,47.3130
48.014,-83.962,59.977,-47.3150,-0.7900,0.4200,47.3240
60.014,-83.962,59.977,-47.3310,-0.8000,0.4300,47.3400
60.014,-83.962,47.977,-47.3120,-0.8000,0.4400,47.3260
60.014,-83.962,35.977,-47.2960,-0.8100,0.4400,47.3040
60.014,-83.962,23.977,-47.2790,-0.8100,0.4300,47.2900
60.014,-83.962,11.977,-47.2690,-0.8100,0.4200,47.2750
60.014,-83.962,-0.023,-47.2620,-0.8100,0.4100,47.2700
60.014,-83.962,-12.023,-47.2590,-0.8100,0.4000,47.2670
60.014,-83.962,-24.023,-47.2500,-0.8000,0.4000,47.2590
60.014,-83.962,-36.023,-47.2490,-0.8000,0.3900,47.2580
60.014,-83.962,-48.023,-47.2650,-0.8000,0.3700,47.2740
60.014,-83.962,-60.023,-47.2700,-0.8000,0.3700,47.2780
72.014,-83.962,-36.023,-47.2530,-0.8000,0.3700,47.2610
72.014,-83.962,-24.023,-47.2440,-0.8000,0.3800,47.2510
72.014,-83.962,-12.023,-47.2470,-0.8100,0.4000,47.2520
72.014,-83.962,-0.023,-47.2450,-0.8200,0.4100,47.2580
72.014,-83.962,11.977,-47.2500,-0.8200,0.4200,47.2570
72.014,-83.962,23.977,-47.2600,-0.8300,0.4500,47.2700
72.014,-83.962,35.977,-47.2730,-0.8300,0.4600,47.2830
