X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
269.83, 217.79, 188.71, -47.508000, -2.037000, -0.233000
259.40, 217.79, 188.71, -47.499000, -2.019000, -0.247000
248.96, 217.79, 188.71, -47.494000, -2.026000, -0.268000
238.53, 217.79, 188.71, -47.495000, -2.018000, -0.282000
228.09, 217.79, 188.71, -47.500000, -2.015000, -0.285000
238.53, 228.23, 188.71, -47.480000, -2.021000, -0.291000
248.96, 228.23, 188.71, -47.478000, -2.021000, -0.260000
259.40, 228.23, 188.71, -47.482000, -2.018000, -0.248000
269.83, 228.23, 188.71, -47.488000, -2.021000, -0.225000
238.53, 249.09, 199.14, -47.457000, -2.032000, -0.274000
248.96, 249.09, 199.14, -47.457000, -2.030000, -0.257000
259.40, 249.09, 199.14, -47.464000, -1.999000, -0.261000
269.83, 249.09, 199.14, -47.464000, -1.999000, -0.254000
301.14, 238.66, 199.14, -47.468000, -2.013000, -0.163000
290.70, 238.66, 199.14, -47.473000, -2.007000, -0.197000
280.27, 238.66, 199.14, -47.472000, -2.004000, -0.219000
269.83, 238.66, 199.14, -47.478000, -2.010000, -0.237000
259.40, 238.66, 199.14, -47.474000, -2.014000, -0.249000
248.96, 238.66, 199.14, -47.474000, -2.017000, -0.266000
238.53, 238.66, 199.14, -47.464000, -2.022000, -0.283000
228.09, 238.66, 199.14, -47.463000, -2.018000, -0.289000
196.79, 228.23, 199.14, -47.496000, -2.016000, -0.352000
207.22, 228.23, 199.14, -47.492000, -2.013000, -0.320000
217.66, 228.23, 199.14, -47.481000, -2.019000, -0.305000
228.09, 228.23, 199.14, -47.482000, -2.018000, -0.288000
238.53, 228.23, 199.14, -47.485000, -2.023000, -0.274000
248.96, 228.23, 199.14, -47.482000, -2.023000, -0.259000
259.40, 228.23, 199.14, -47.483000, -2.014000, -0.250000
269.83, 228.23, 199.14, -47.488000, -2.020000, -0.232000
280.27, 228.23, 199.14, -47.490000, -2.020000, -0.221000
290.70, 228.23, 199.14, -47.494000, -2.037000, -0.204000
301.14, 228.23, 199.14, -47.501000, -2.033000, -0.186000
311.57, 228.23, 199.14, -47.508000, -2.046000, -0.152000
332.44, 217.79, 199.14, -47.576000, -2.124000, -0.175000
322.01, 217.79, 199.14, -47.550000, -2.090000, -0.175000
311.57, 217.79, 199.14, -47.527000, -2.068000, -0.187000
301.14, 217.79, 199.14, -47.519000, -2.055000, -0.206000
290.70, 217.79, 199.14, -47.508000, -2.037000, -0.220000
280.27, 217.79, 199.14, -47.502000, -2.027000, -0.236000
269.83, 217.79, 199.14, -47.501000, -2.020000, -0.250000
259.40, 217.79, 199.14, -47.499000, -2.020000, -0.259000
248.96, 217.79, 199.14, -47.494000, -2.014000, -0.268000
238.53, 217.79, 199.14, -47.497000, -2.015000, -0.282000
228.09, 217.79, 199.14, -47.496000, -2.007000, -0.285000
217.66, 217.79, 199.14, -47.500000, -2.007000, -0.304000
207.22, 217.79, 199.14, -47.510000, -2.006000, -0.305000
196.79, 217.79, 199.14, -47.529000, -1.997000, -0.319000
186.35, 207.36, 199.14, -47.555000, -1.978000, -0.304000
196.79, 207.36, 199.14, -47.536000, -1.992000, -0.305000
207.22, 207.36, 199.14, -47.525000, -1.998000, -0.297000
217.66, 207.36, 199.14, -47.514000, -2.011000, -0.297000
228.09, 207.36, 199.14, -47.504000, -2.014000, -0.289000
238.53, 207.36, 199.14, -47.507000, -2.013000, -0.276000
248.96, 207.36, 199.14, -47.503000, -2.021000, -0.273000
259.40, 207.36, 199.14, -47.502000, -2.023000, -0.262000
269.83, 207.36, 199.14, -47.506000, -2.025000, -0.252000
280.27, 207.36, 199.14, -47.511000, -2.038000, -0.238000
290.70, 207.36, 199.14, -47.517000, -2.045000, -0.237000
301.14, 207.36, 199.14, -47.522000, -2.047000, -0.228000
311.57, 207.36, 199.14, -47.533000, -2.063000, -0.227000
